CA	20.403200000000002	0.04000000000000001
CL	69.47	0.4000000000000001
CM	47.71583333333334	0.815
CP	40.45464285714286	0.20199999999999999
CR	23.686923076923076	0.2
CBD	45.5391304347826	0.24699999999999991
CCE	16.73409090909091	0.08000000000000002
CCT	23.236666666666665	0.4380000000000002
CCW	23.62	0.438
CCZ	26.366428571428575	0.39199999999999996
CDR	5.368148148148148	0.113
CEE	23.198333333333323	0.6509999999999999
CEG	27.36666666666667	0.2400000000000001
CFR	47.505483870967744	0.4299999999999998
CGO	11.576799999999997	0.10000000000000003
CHE	41.67166666666667	0.06000000000000004
CHH	28.555217391304343	0.185
CHI	10.422	0.09500000000000004
CHK	21.177600000000005	0.07500000000000007
CHN	20.863333333333337	0.2089999999999999
CHW	7.011666666666664	0.07000000000000005
CHY	9.899999999999999	0.08499999999999998
CIB	35.097857142857144	0.274
CIF	2.0084615384615385	0.020500000000000004
CIU	99.40599999999999	0.3959999999999997
CIX	6.496086956521739	0.125
CJR	13.453600000000002	0.05000000000000002
CMC	15.107999999999999	0.12000000000000006
CMI	35.220000000000006	0.1749999999999999
CMK	7.498666666666666	0.041
CMP	58.38620689655173	0.35500000000000026
CMS	12.570434782608693	0.125
CMU	3.857878787878788	0.02800000000000002
CNL	24.016086956521736	0.22499999999999995
CPB	29.89636363636365	0.25
CPK	31.177777777777774	0.315
CPO	26.315333333333324	0.14000000000000007
CRT	29.13583333333334	0.1595
CSA	5.312058823529414	0.16249999999999976
CSJ	101.89684210526315	0.34199999999999986
CSL	26.84607142857143	0.15750000000000006
CSP	8.455833333333333	0.06000000000000003
CSQ	7.296666666666669	0.05299999999999999
CSX	36.267222222222216	0.22000000000000008
CWF	3.1454545454545464	0.03400000000000002
CXE	4.2603124999999995	0.027000000000000017
CXH	8.111	0.05300000000000003
CYE	4.914333333333333	0.05500000000000005
